biotic_group,biotic_realm_a,biotic_realm_b
Zooplankton,Micro biota,Plankton
Phytoplankton,Micro biota,Plankton
Microphytobenthos,Micro biota,Plant
Marine mammals,Macro fauna,Marine mammals
Macrophytes,Macro flora,Plant
Macroalgae,Macro flora,Plant
Infauna,Macro fauna,Benthos
Fish,Macro fauna,Fish & Cephalopods
Epifauna,Macro fauna,Benthos
Cephalopods,Macro fauna,Fish & Cephalopods
Birds,Macro fauna,Birds
Bacteria,Micro biota,Bacteria
